CandidateID,Concept,Section,Classification,ContextSnippet
CAND_0000001,Milvus,Skills,Mention only,fine-tuning llms weights & biases speech recognition photoshop tts lora apache beam aws flask bentoml milvus gans statistical modeling gcp
CAND_0000010,Elasticsearch,Skills,Mention only,gcp spring boot kubeflow java gans figma elasticsearch opencv cnn azure prompt engineering object detection mlops python bm25 weights & biases sales
CAND_0000010,BM25,Skills,Mention only,boot kubeflow java gans figma elasticsearch opencv cnn azure prompt engineering object detection mlops python bm25 weights & biases sales
CAND_0000014,OpenSearch,Skills,Mention only,faiss bigquery react opensearch opencv yolo sap seo rest apis gans dbt photoshop tailwind
CAND_0000014,FAISS,Skills,Mention only,faiss bigquery react opensearch opencv yolo sap seo rest apis gans dbt photoshop tailwind
CAND_0000015,Qdrant,Skills,Mention only,pytorch content writing weights & biases qdrant sales figma bigquery computer vision next.js seo
CAND_0000021,FAISS,Skills,Mention only,typescript etl spring boot recommendation systems fine-tuning llms prompt engineering langchain pinecone vector search embeddings faiss
CAND_0000021,Pinecone,Skills,Mention only,postgresql kafka microservices aws typescript etl spring boot recommendation systems fine-tuning llms prompt engineering langchain pinecone vector search embeddings faiss
CAND_0000021,Embeddings,Skills,Mention only,aws typescript etl spring boot recommendation systems fine-tuning llms prompt engineering langchain pinecone vector search embeddings faiss
CAND_0000031,FAISS,Skills,Future interest,go mlflow faiss pinecone angular image classification machine learning speech recognition bentoml mlops embeddings information retrieval hugging
CAND_0000031,Pinecone,Skills,Future interest,go mlflow faiss pinecone angular image classification machine learning speech recognition bentoml mlops embeddings information retrieval hugging face
CAND_0000031,Embeddings,Skills,Future interest,go mlflow faiss pinecone angular image classification machine learning speech recognition bentoml mlops embeddings information retrieval hugging face transformers feature engineering sentence transformers scikit-learn marketing
CAND_0000031,Learning-to-Rank,Career,Future interest,"layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. designed the relevance labeling pipeline (mix of click-through data and"
CAND_0000032,Embeddings,Skills,Mention only,speech recognition project management rest apis css embeddings hadoop spark python data pipelines opencv
CAND_0000038,Weaviate,Skills,Mention only,kubeflow django redux weaviate powerpoint figma docker graphql agile mlops azure
CAND_0000043,Elasticsearch,Skills,Mention only,elasticsearch opensearch airflow kubeflow fine-tuning llms haystack opencv tensorflow peft langchain weights & biases reinforcement
CAND_0000043,OpenSearch,Skills,Future interest,elasticsearch opensearch airflow kubeflow fine-tuning llms haystack opencv tensorflow peft langchain weights & biases reinforcement learning
CAND_0000056,Embeddings,Skills,Mention only,bentoml gcp css kubernetes accounting react image classification fastapi rest apis mongodb pytorch embeddings seo data pipelines
CAND_0000068,FAISS,Skills,Mention only,databricks flask gcp typescript faiss sql agile kubeflow weights & biases excel java rest apis graphql
CAND_0000071,Qdrant,Skills,Mention only,html qdrant excel aws photoshop bentoml cnn redis figma java ci/cd python etl marketing opencv tally
CAND_0000074,FAISS,Skills,Mention only,next.js webpack aws information retrieval hugging face transformers sentence transformers recommendation systems embeddings rag llms faiss vector search pinecone
CAND_0000074,Pinecone,Skills,Mention only,information retrieval hugging face transformers sentence transformers recommendation systems embeddings rag llms faiss vector search pinecone
CAND_0000074,Embeddings,Skills,Mention only,go grpc next.js webpack aws information retrieval hugging face transformers sentence transformers recommendation systems embeddings rag llms faiss vector search pinecone
CAND_0000074,RAG,Skills,Mention only,go grpc next.js webpack aws information retrieval hugging face transformers sentence transformers recommendation systems embeddings rag llms faiss vector search pinecone
CAND_0000082,FAISS,Skills,Future interest,gans rest apis tts html yolo sap pinecone reinforcement learning embeddings llms faiss
CAND_0000082,Pinecone,Skills,Future interest,gans rest apis tts html yolo sap pinecone reinforcement learning embeddings llms faiss
CAND_0000082,Embeddings,Skills,Future interest,gans rest apis tts html yolo sap pinecone reinforcement learning embeddings llms faiss
CAND_0000083,FAISS,Skills,Mention only,vue.js marketing semantic search pinecone fine-tuning llms rag hugging face transformers recommendation systems information retrieval faiss langchain vector search llms
CAND_0000083,Pinecone,Skills,Mention only,bigquery flask figma sap vue.js marketing semantic search pinecone fine-tuning llms rag hugging face transformers recommendation systems information retrieval faiss langchain vector search
CAND_0000083,RAG,Skills,Mention only,bigquery flask figma sap vue.js marketing semantic search pinecone fine-tuning llms rag hugging face transformers recommendation systems information retrieval faiss langchain vector search llms
CAND_0000097,FAISS,Skills,Mention only,information retrieval semantic search sentence transformers hugging face transformers rag pinecone prompt engineering vector search faiss llms
CAND_0000097,Pinecone,Skills,Mention only,tailwind terraform apache beam mongodb information retrieval semantic search sentence transformers hugging face transformers rag pinecone prompt engineering vector search faiss llms
CAND_0000097,RAG,Skills,Mention only,node.js tailwind terraform apache beam mongodb information retrieval semantic search sentence transformers hugging face transformers rag pinecone prompt engineering vector search faiss llms
CAND_0000112,Milvus,Skills,Mention only,asr llamaindex object detection haystack go hugging face transformers redux feature engineering postgresql recommendation systems milvus mlflow yolo
CAND_0000120,Embeddings,Skills,Mention only,hugging face transformers vector search langchain semantic search information retrieval llms fine-tuning llms sentence transformers embeddings recommendation systems
CAND_0000120,RAG,Skills,Mention only,fastapi aws redux marketing sql react salesforce crm forecasting content writing rag hugging face transformers vector search langchain semantic search information retrieval llms fine-tuning llms sentence
CAND_0000121,FAISS,Skills,Mention only,airflow marketing excel seo sales faiss vector search recommendation systems rag fine-tuning llms hugging face transformers prompt engineering information retrieval
CAND_0000121,Pinecone,Skills,Mention only,faiss vector search recommendation systems rag fine-tuning llms hugging face transformers prompt engineering information retrieval pinecone sentence transformers
CAND_0000121,RAG,Skills,Mention only,airflow marketing excel seo sales faiss vector search recommendation systems rag fine-tuning llms hugging face transformers prompt engineering information retrieval pinecone sentence transformers
CAND_0000131,RAG,Skills,Mention only,kubernetes feature engineering rag computer vision gcp bentoml statistical modeling go
CAND_0000133,Pinecone,Skills,Mention only,hadoop accounting rust hugging face transformers llms sentence transformers fine-tuning llms vector search semantic search pinecone
CAND_0000134,Weaviate,Skills,Future interest,html flask reinforcement learning airflow yolo graphql azure snowflake weaviate illustrator next.js
CAND_0000142,OpenSearch,Skills,Future interest,powerpoint kafka tally statistical modeling scrum reinforcement learning agile next.js content writing speech recognition figma opensearch redux hadoop snowflake
CAND_0000155,Milvus,Skills,Mention only,asr ci/cd milvus gans time series illustrator statistical modeling fastapi apache beam
CAND_0000158,Elasticsearch,Skills,Mention only,azure javascript postgresql project management elasticsearch tailwind scikit-learn hadoop agile feature engineering java redis
CAND_0000160,Elasticsearch,Skills,Mention only,node.js mongodb kubernetes qlora kafka aws illustrator databricks elasticsearch
CAND_0000165,Qdrant,Skills,Mention only,bentoml information retrieval semantic search tts next.js prompt engineering vector search yolo image classification qdrant sentence transformers airflow postgresql asr
CAND_0000182,Elasticsearch,Skills,Mention only,illustrator redis peft mongodb bentoml asr airflow elasticsearch object detection etl
