candidate_id,retrieval_score,relevance_score,total_fam_score,total_concepts,unique_fams,avg_concepts_per_fam,largest_fam_size,largest_fam,score_search_engine,score_vector_database,score_retrieval_algorithm,score_ranking_technique,score_representation_technique,score_retrieval_concept,score_recommendation_concept,score_evaluation_concept,count_search_engine,count_vector_database,count_retrieval_algorithm,count_ranking_technique,count_representation_technique,count_retrieval_concept,count_recommendation_concept,count_evaluation_concept,profile_class,largest_fam_score_pct
CAND_0094759,100.0,0.9350000023841858,278.0,18,6,3.0,7,retrieval_concept,0.0,44.0,24.0,16.0,22.0,98.0,0.0,74.0,0,3,2,1,1,7,0,4,Balanced,0.35251798561151076
CAND_0055905,100.0,0.8899999856948853,263.0,18,8,2.25,7,retrieval_concept,28.0,12.0,26.0,12.0,18.0,96.0,15.0,56.0,2,1,2,1,1,7,1,3,Balanced,0.3650190114068441
CAND_0077337,100.0,0.8949999809265137,281.0,17,7,2.4285714285714284,6,retrieval_concept,14.0,28.0,16.0,0.0,22.0,90.0,53.0,58.0,1,2,1,0,1,6,3,3,Balanced,0.3202846975088968
CAND_0041611,98.0,0.9200000166893005,272.0,18,7,2.5714285714285716,6,retrieval_concept,14.0,40.0,30.0,12.0,20.0,82.0,0.0,74.0,1,3,2,1,1,6,0,4,Balanced,0.3014705882352941
CAND_0079387,100.0,0.8400000333786011,266.0,19,8,2.375,8,retrieval_concept,26.0,24.0,16.0,14.0,16.0,96.0,38.0,36.0,2,2,1,1,1,8,2,2,Moderately Concentrated,0.3609022556390977
CAND_0008425,100.0,0.8400000333786011,223.0,14,7,2.0,4,retrieval_concept,0.0,26.0,12.0,16.0,14.0,66.0,53.0,36.0,0,2,1,1,1,4,3,2,Balanced,0.29596412556053814
CAND_0046064,100.0,0.9300000071525574,302.0,20,8,2.5,6,retrieval_concept,28.0,28.0,28.0,14.0,14.0,86.0,32.0,72.0,2,2,2,1,1,6,2,4,Balanced,0.2847682119205298
CAND_0033861,100.0,0.8849999904632568,310.0,21,8,2.625,6,retrieval_concept,14.0,56.0,12.0,14.0,14.0,86.0,60.0,54.0,1,4,1,1,1,6,4,3,Balanced,0.27741935483870966
CAND_0092278,100.0,0.9750000238418579,329.0,22,8,2.75,7,retrieval_concept,14.0,26.0,24.0,12.0,16.0,96.0,51.0,90.0,1,2,2,1,1,7,3,5,Balanced,0.2917933130699088
CAND_0068811,100.0,0.8400000333786011,228.0,15,7,2.142857142857143,5,retrieval_concept,14.0,44.0,0.0,12.0,20.0,72.0,30.0,36.0,1,3,0,1,1,5,2,2,Balanced,0.3157894736842105
CAND_0030953,100.0,0.8050000071525574,252.0,18,8,2.25,7,retrieval_concept,12.0,52.0,12.0,14.0,16.0,94.0,30.0,22.0,1,4,1,1,1,7,2,1,Balanced,0.373015873015873
CAND_0080766,100.0,0.8849999904632568,209.0,14,7,2.0,5,retrieval_concept,28.0,14.0,12.0,0.0,12.0,74.0,15.0,54.0,2,1,1,0,1,5,1,3,Balanced,0.35406698564593303
CAND_0046525,96.0,0.8999999761581421,234.0,16,7,2.2857142857142856,5,retrieval_concept,14.0,26.0,24.0,12.0,18.0,68.0,0.0,72.0,1,2,2,1,1,5,0,4,Balanced,0.2905982905982906
CAND_0044883,98.0,0.8250000476837158,200.0,14,6,2.3333333333333335,7,retrieval_concept,12.0,24.0,16.0,0.0,18.0,94.0,0.0,36.0,1,2,1,0,1,7,0,2,Moderately Concentrated,0.47
CAND_0081846,100.0,0.8899999856948853,294.0,19,8,2.375,7,retrieval_concept,14.0,26.0,30.0,16.0,18.0,100.0,34.0,56.0,1,2,2,1,1,7,2,3,Balanced,0.3401360544217687
CAND_0086022,100.0,0.9300000071525574,286.0,19,8,2.375,6,retrieval_concept,14.0,26.0,24.0,12.0,22.0,82.0,34.0,72.0,1,2,2,1,1,6,2,4,Balanced,0.2867132867132867
CAND_0005649,100.0,0.8400000333786011,244.0,17,7,2.4285714285714284,7,retrieval_concept,12.0,38.0,12.0,0.0,14.0,98.0,34.0,36.0,1,3,1,0,1,7,2,2,Moderately Concentrated,0.4016393442622951
CAND_0018499,100.0,0.8999999761581421,309.0,19,7,2.7142857142857144,5,retrieval_concept,0.0,56.0,32.0,18.0,18.0,76.0,49.0,60.0,0,4,2,1,1,5,3,3,Balanced,0.2459546925566343
CAND_0086151,100.0,0.7950000166893005,238.0,16,8,2.0,6,retrieval_concept,30.0,26.0,16.0,12.0,16.0,82.0,38.0,18.0,2,2,1,1,1,6,2,1,Balanced,0.3445378151260504
CAND_0010685,96.0,0.809999942779541,182.0,13,6,2.1666666666666665,7,retrieval_concept,16.0,12.0,12.0,12.0,0.0,94.0,0.0,36.0,1,1,1,1,0,7,0,2,Moderately Concentrated,0.5164835164835165
CAND_0037000,100.0,0.7950000166893005,164.0,11,6,1.8333333333333333,5,retrieval_concept,0.0,30.0,14.0,12.0,18.0,72.0,0.0,18.0,0,2,1,1,1,5,0,1,Moderately Concentrated,0.43902439024390244
CAND_0007009,100.0,0.75,210.0,15,6,2.5,7,retrieval_concept,26.0,40.0,16.0,14.0,22.0,92.0,0.0,0.0,2,3,1,1,1,7,0,0,Moderately Concentrated,0.4380952380952381
CAND_0060054,100.0,0.800000011920929,214.0,14,7,2.0,6,retrieval_concept,16.0,30.0,12.0,0.0,12.0,86.0,38.0,20.0,1,2,1,0,1,6,2,1,Moderately Concentrated,0.40186915887850466
CAND_0007412,98.0,0.7800000309944153,194.0,12,7,1.7142857142857142,4,retrieval_concept,0.0,34.0,14.0,12.0,22.0,60.0,34.0,18.0,0,2,1,1,1,4,2,1,Balanced,0.30927835051546393
