test,overlap_100,avg_move
ALPHA_+0.05,99,19.87156
ALPHA_-0.05,100,21.10122
ALPHA_+0.10,99,37.6384
ALPHA_-0.10,99,42.0841
BETA_+0.05,100,1.73232
BETA_-0.05,99,1.49928
BETA_+0.10,100,3.18122
BETA_-0.10,99,3.11356
GAMMA_+0.05,100,1.17714
GAMMA_-0.05,99,1.1627
GAMMA_+0.10,100,2.29864
GAMMA_-0.10,99,2.32298
W_PROD_+0.05,99,14.0339
W_PROD_-0.05,100,17.31882
W_PROD_+0.10,99,25.90264
W_PROD_-0.10,100,26.64854
W_SPEC_+0.05,100,15.69652
W_SPEC_-0.05,99,15.27916
W_SPEC_+0.10,100,29.07618
W_SPEC_-0.10,99,28.88652
W_EVID_+0.05,100,1.42284
W_EVID_-0.05,99,1.48726
W_EVID_+0.10,99,2.87582
W_EVID_-0.10,99,3.0722
