,consulting_ratio,title_progression_score,short_tenure_count,job_count,contradiction_score
count,100000.0,100000.0,100000.0,100000.0,100000.0
mean,0.26330670714378357,50.00345993041992,0.17016,3.00171,0.014155100099742413
std,0.3104020655155182,14.866708755493164,0.37577518075288674,1.5224422006114195,0.786536693572998
min,0.0,0.0,0.0,1.0,0.0
25%,0.0,50.0,0.0,2.0,0.0
50%,0.16385000199079514,50.0,0.0,3.0,0.0
75%,0.44929999113082886,50.0,0.0,4.0,0.0
90%,0.7407000064849854,62.5,1.0,5.0,0.0
95%,1.0,75.0,1.0,6.0,0.0
99%,1.0,100.0,1.0,7.0,0.0
max,1.0,100.0,1.0,9.0,50.0
