candidate_id,rank_cur,final_score_cur,rank_prev,final_score_prev,rank_move
CAND_0000055,39380,0.0,72,0.0,-39308
CAND_0000054,39379,0.0,71,0.0,-39308
CAND_0000076,39394,0.0,86,0.0,-39308
CAND_0000075,39393,0.0,85,0.0,-39308
CAND_0000052,39377,0.0,69,0.0,-39308
CAND_0000053,39378,0.0,70,0.0,-39308
CAND_0000051,39376,0.0,68,0.0,-39308
CAND_0000050,39375,0.0,67,0.0,-39308
CAND_0000047,39372,0.0,64,0.0,-39308
CAND_0000046,39371,0.0,63,0.0,-39308
CAND_0000049,39374,0.0,66,0.0,-39308
CAND_0000048,39373,0.0,65,0.0,-39308
CAND_0000041,39368,0.0,60,0.0,-39308
CAND_0000040,39367,0.0,59,0.0,-39308
CAND_0000039,39366,0.0,58,0.0,-39308
CAND_0000037,39365,0.0,57,0.0,-39308
CAND_0000036,39364,0.0,56,0.0,-39308
CAND_0000033,39363,0.0,55,0.0,-39308
CAND_0000045,39370,0.0,62,0.0,-39308
CAND_0000044,39369,0.0,61,0.0,-39308
CAND_0000028,39361,0.0,53,0.0,-39308
CAND_0000029,39362,0.0,54,0.0,-39308
CAND_0000025,39360,0.0,52,0.0,-39308
CAND_0000023,39359,0.0,51,0.0,-39308
CAND_0000017,39356,0.0,48,0.0,-39308
CAND_0000016,39355,0.0,47,0.0,-39308
CAND_0000019,39358,0.0,50,0.0,-39308
CAND_0000018,39357,0.0,49,0.0,-39308
CAND_0000012,39353,0.0,45,0.0,-39308
CAND_0000013,39354,0.0,46,0.0,-39308
CAND_0000009,39352,0.0,44,0.0,-39308
CAND_0000008,39351,0.0,43,0.0,-39308
CAND_0000006,39349,0.0,41,0.0,-39308
CAND_0000007,39350,0.0,42,0.0,-39308
CAND_0000003,39347,0.0,39,0.0,-39308
CAND_0000005,39348,0.0,40,0.0,-39308
CAND_0000089,39401,0.0,93,0.0,-39308
CAND_0000090,39402,0.0,94,0.0,-39308
CAND_0000077,39395,0.0,87,0.0,-39308
CAND_0000078,39396,0.0,88,0.0,-39308
CAND_0000058,39381,0.0,73,0.0,-39308
CAND_0000059,39382,0.0,74,0.0,-39308
CAND_0000060,39383,0.0,75,0.0,-39308
CAND_0000061,39384,0.0,76,0.0,-39308
CAND_0000062,39385,0.0,77,0.0,-39308
CAND_0000063,39386,0.0,78,0.0,-39308
CAND_0000064,39387,0.0,79,0.0,-39308
CAND_0000066,39388,0.0,80,0.0,-39308
CAND_0000067,39389,0.0,81,0.0,-39308
CAND_0000070,39390,0.0,82,0.0,-39308
